Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Nerlens Noel",6-11,22,51,19,8.7255,0.9804,5.764705882352941,0.595,0.694,0,0
"Al-Farouq Aminu",6-9,26,61,25,8.7213,1.6230,7.39344262295082,0.393,0.706,0.33,0
"Marreese Speights",6-10,29,82,2,8.6707,0.8049,4.548780487804878,0.445,0.876,0.372,0
"Rondae Hollis-Jefferson",6-7,22,78,50,8.6538,1.9744,5.794871794871795,0.434,0.751,0.224,0
"J.R. Smith",6-6,31,41,35,8.5610,1.5122,2.7560975609756095,0.346,0.667,0.351,0
"Tony Snell",6-7,25,80,80,8.5375,1.2000,3.1,0.455,0.81,0.406,0
"Monta Ellis",6-3,31,74,33,8.5135,3.1892,2.7567567567567566,0.443,0.727,0.319,0
"Tyson Chandler",7-1,34,47,46,8.4468,0.6383,11.46808510638298,0.671,0.734,,0
"Arron Afflalo",6-5,31,61,45,8.4426,1.2787,2.0491803278688523,0.44,0.892,0.411,0
"Norman Powell",6-4,23,76,18,8.3684,1.0789,2.210526315789474,0.449,0.792,0.324,0
"Joe Harris",6-6,25,52,11,8.2308,1.0385,2.826923076923077,0.425,0.714,0.385,0
"Troy Daniels",6-4,25,67,3,8.2239,0.6866,1.492537313432836,0.374,0.796,0.389,0
"Shawn Long",6-9,24,18,0,8.2222,0.7222,4.722222222222222,0.56,0.543,0.368,0
"Caris LeVert",6-7,22,57,26,8.2105,1.9298,3.2982456140350878,0.45,0.72,0.321,0
"Willy Hernangomez",6-11,22,72,22,8.1528,1.3333,6.972222222222222,0.529,0.728,0.267,0
"Willie Cauley-Stein",7-0,23,75,21,8.1467,1.0667,4.533333333333333,0.53,0.669,0,0
"Ben McLemore",6-5,23,61,26,8.1148,0.8361,2.1311475409836067,0.43,0.753,0.382,0
"Al Jefferson",6-10,32,66,1,8.1061,0.8636,4.212121212121212,0.499,0.765,0,0
"Tristan Thompson",6-9,25,78,78,8.0769,0.9872,9.179487179487179,0.6,0.498,0,0
"Vince Carter",6-6,40,73,15,8.0274,1.8219,3.1095890410958904,0.394,0.765,0.378,0
"Alex Len",7-1,23,77,34,7.9610,0.5714,6.623376623376624,0.497,0.721,0.25,0
"Langston Galloway",6-2,25,74,2,7.9054,1.2568,2.108108108108108,0.38,0.797,0.39,0
"D.J. Augustin",6-0,29,78,20,7.8974,2.6795,1.5,0.377,0.814,0.347,0
"Shelvin Mack",6-3,26,55,9,7.8182,2.8000,2.327272727272727,0.446,0.688,0.308,0
"Rajon Rondo",6-1,30,69,42,7.7971,6.6812,5.144927536231884,0.408,0.6,0.376,0
"Sergio Rodriguez",6-3,30,68,30,7.7941,5.0588,2.3088235294117645,0.392,0.667,0.365,0
"Garrett Temple",6-6,30,65,21,7.7846,2.6000,2.8153846153846156,0.424,0.784,0.373,0
"Justin Holiday",6-6,27,82,4,7.6707,1.2439,2.7439024390243905,0.433,0.825,0.355,0
"Matthew Dellavedova",6-4,26,76,54,7.5921,4.6974,1.9342105263157894,0.39,0.854,0.367,0
"Luol Deng",6-9,31,56,49,7.5893,1.3214,5.267857142857143,0.387,0.73,0.309,0
"Andre Iguodala",6-6,33,76,0,7.5526,3.4474,4,0.528,0.706,0.362,0
"Manu Ginobili",6-6,39,69,0,7.4928,2.6522,2.2753623188405796,0.39,0.804,0.392,0
"Ivica Zubac",7-1,19,38,11,7.4737,0.7895,4.184210526315789,0.529,0.653,0,0
"Iman Shumpert",6-5,26,76,31,7.4605,1.4342,2.8815789473684212,0.411,0.789,0.36,0
"Isaiah Whitehead",6-4,21,73,26,7.4384,2.6301,2.5205479452054793,0.402,0.805,0.295,0
"Timofey Mozgov",7-1,30,54,52,7.4259,0.7963,4.888888888888889,0.515,0.808,0,0
"Alan Williams",6-8,24,47,0,7.3617,0.4894,6.212765957446808,0.517,0.625,0,0
